Action,Dealer Shown Card,Player Total,Hard Total,Soft Total,Hard Total Initial,Soft Total initial,Pairs
S,2,21,1,0,0,0,0
S,2,20,1,0,0,0,0
S,2,19,1,0,0,0,0
S,2,18,1,0,0,0,0
S,2,17,1,0,0,0,0
S,2,16,1,0,0,0,0
S,2,15,1,0,0,0,0
S,2,14,1,0,0,0,0
S,2,13,1,0,0,0,0
H,2,12,1,0,0,0,0
H,2,11,1,0,0,0,0
H,2,10,1,0,0,0,0
H,2,9,1,0,0,0,0
H,2,8,1,0,0,0,0
H,2,7,1,0,0,0,0
H,2,6,1,0,0,0,0
H,2,5,1,0,0,0,0
H,2,4,1,0,0,0,0
H,2,3,1,0,0,0,0
H,2,2,1,0,0,0,0
S,3,21,1,0,0,0,0
S,3,20,1,0,0,0,0
S,3,19,1,0,0,0,0
S,3,18,1,0,0,0,0
S,3,17,1,0,0,0,0
S,3,16,1,0,0,0,0
S,3,15,1,0,0,0,0
S,3,14,1,0,0,0,0
S,3,13,1,0,0,0,0
H,3,12,1,0,0,0,0
H,3,11,1,0,0,0,0
H,3,10,1,0,0,0,0
H,3,9,1,0,0,0,0
H,3,8,1,0,0,0,0
H,3,7,1,0,0,0,0
H,3,6,1,0,0,0,0
H,3,5,1,0,0,0,0
H,3,4,1,0,0,0,0
H,3,3,1,0,0,0,0
H,3,2,1,0,0,0,0
S,4,21,1,0,0,0,0
S,4,20,1,0,0,0,0
S,4,19,1,0,0,0,0
S,4,18,1,0,0,0,0
S,4,17,1,0,0,0,0
S,4,16,1,0,0,0,0
S,4,15,1,0,0,0,0
S,4,14,1,0,0,0,0
S,4,13,1,0,0,0,0
S,4,12,1,0,0,0,0
H,4,11,1,0,0,0,0
H,4,10,1,0,0,0,0
H,4,9,1,0,0,0,0
H,4,8,1,0,0,0,0
H,4,7,1,0,0,0,0
H,4,6,1,0,0,0,0
H,4,5,1,0,0,0,0
H,4,4,1,0,0,0,0
H,4,3,1,0,0,0,0
H,4,2,1,0,0,0,0
S,5,21,1,0,0,0,0
S,5,20,1,0,0,0,0
S,5,19,1,0,0,0,0
S,5,18,1,0,0,0,0
S,5,17,1,0,0,0,0
S,5,16,1,0,0,0,0
S,5,15,1,0,0,0,0
S,5,14,1,0,0,0,0
S,5,13,1,0,0,0,0
S,5,12,1,0,0,0,0
H,5,11,1,0,0,0,0
H,5,10,1,0,0,0,0
H,5,9,1,0,0,0,0
H,5,8,1,0,0,0,0
H,5,7,1,0,0,0,0
H,5,6,1,0,0,0,0
H,5,5,1,0,0,0,0
H,5,4,1,0,0,0,0
H,5,3,1,0,0,0,0
H,5,2,1,0,0,0,0
S,6,21,1,0,0,0,0
S,6,20,1,0,0,0,0
S,6,19,1,0,0,0,0
S,6,18,1,0,0,0,0
S,6,17,1,0,0,0,0
S,6,16,1,0,0,0,0
S,6,15,1,0,0,0,0
S,6,14,1,0,0,0,0
S,6,13,1,0,0,0,0
S,6,12,1,0,0,0,0
H,6,11,1,0,0,0,0
H,6,10,1,0,0,0,0
H,6,9,1,0,0,0,0
H,6,8,1,0,0,0,0
H,6,7,1,0,0,0,0
H,6,6,1,0,0,0,0
H,6,5,1,0,0,0,0
H,6,4,1,0,0,0,0
H,6,3,1,0,0,0,0
H,6,2,1,0,0,0,0
S,7,21,1,0,0,0,0
S,7,20,1,0,0,0,0
S,7,19,1,0,0,0,0
S,7,18,1,0,0,0,0
S,7,17,1,0,0,0,0
H,7,16,1,0,0,0,0
H,7,15,1,0,0,0,0
H,7,14,1,0,0,0,0
H,7,13,1,0,0,0,0
H,7,12,1,0,0,0,0
H,7,11,1,0,0,0,0
H,7,10,1,0,0,0,0
H,7,9,1,0,0,0,0
H,7,8,1,0,0,0,0
H,7,7,1,0,0,0,0
H,7,6,1,0,0,0,0
H,7,5,1,0,0,0,0
